sector,classe,pressure_avg,pressure_min,pressure_max,pressure_std,pressure_in,pressure_out,delta_p,ilp,volume_loss
SEC_002,NORMAL,3.251,2.771,3.75,0.08,3.348,3.219,0.129,4.736,0.0196
SEC_018,FUITE,2.553,1.153,3.066,0.576,4.058,0.961,3.097,19.404,0.3695
SEC_002,NORMAL,3.218,2.648,3.758,0.117,3.265,3.134,0.131,1.211,0.0787
SEC_005,NORMAL,3.391,2.895,3.848,0.112,3.374,3.34,0.034,0.651,0.0472
SEC_017,NORMAL,3.519,3.213,3.966,0.093,3.686,3.388,0.298,2.301,0.0229
SEC_001,NORMAL,3.426,2.939,3.867,0.068,3.623,3.249,0.374,3.836,0.0462
SEC_014,NORMAL,3.518,3.241,4.075,0.059,3.608,3.484,0.125,6.227,0.0223
SEC_005,NORMAL,3.875,3.252,4.306,0.055,3.884,3.734,0.15,4.069,0.0452
SEC_020,NORMAL,3.526,2.93,3.928,0.089,3.641,3.384,0.257,3.104,0.0482
SEC_017,SUSPECT,3.517,2.892,4.241,0.218,3.91,3.223,0.687,7.957,0.1493
SEC_004,NORMAL,3.426,2.987,3.932,0.125,3.56,3.237,0.323,5.892,0.0389
SEC_005,NORMAL,3.772,3.312,4.118,0.074,3.804,3.653,0.151,3.789,0.0448
SEC_020,NORMAL,3.506,2.973,4.001,0.113,3.565,3.385,0.179,2.655,0.033
SEC_013,FUITE,3.246,1.839,3.596,0.786,4.663,1.787,2.876,22.403,0.4141
SEC_002,NORMAL,3.193,2.685,3.813,0.058,3.426,3.031,0.395,2.807,0.0359
SEC_012,NORMAL,3.664,3.355,4.007,0.061,3.77,3.573,0.197,1.154,0.0428
SEC_001,SUSPECT,2.757,2.088,3.326,0.198,3.272,2.432,0.84,8.091,0.0883
SEC_016,NORMAL,3.597,3.106,4.07,0.102,3.721,3.469,0.252,4.445,0.0418
SEC_008,NORMAL,3.671,3.287,4.073,0.115,3.773,3.618,0.155,2.132,0.0286
SEC_009,NORMAL,3.663,3.097,4.098,0.066,3.796,3.432,0.364,5.323,0.0765
SEC_018,NORMAL,3.443,2.878,3.887,0.066,3.556,3.391,0.165,5.319,0.0436
SEC_017,SUSPECT,2.319,1.364,3.063,0.205,2.595,2.133,0.462,9.914,0.1613
SEC_005,SUSPECT,3.211,2.556,3.577,0.226,3.526,2.861,0.665,6.969,0.1051
SEC_002,NORMAL,3.529,3.101,4.035,0.102,3.721,3.412,0.309,3.526,0.0697
SEC_016,NORMAL,3.697,3.123,4.179,0.092,3.851,3.537,0.314,4.269,0.0664
SEC_018,NORMAL,3.67,3.191,4.236,0.085,3.78,3.574,0.206,4.914,0.0378
SEC_020,NORMAL,3.604,3.287,3.982,0.148,3.758,3.561,0.197,2.79,0.0543
SEC_003,FUITE,2.688,1.644,2.9,0.621,3.661,1.713,1.948,22.832,0.2732
SEC_012,NORMAL,4.019,3.437,4.465,0.086,4.077,3.876,0.201,4.266,0.0128
SEC_017,NORMAL,3.521,2.989,3.823,0.142,3.552,3.458,0.094,5.06,0.0472
SEC_011,NORMAL,3.562,3.213,4.007,0.061,3.684,3.505,0.179,3.339,0.027
SEC_012,NORMAL,3.325,2.909,3.897,0.086,3.56,3.3,0.26,3.842,0.0509
SEC_010,NORMAL,3.879,3.301,4.379,0.086,4.026,3.768,0.258,3.782,0.0349
SEC_006,NORMAL,3.736,3.422,4.043,0.059,3.899,3.577,0.322,1.33,0.069
SEC_011,FUITE,2.78,1.413,3.286,0.718,3.871,1.855,2.016,12.726,0.3605
SEC_012,NORMAL,3.587,3.176,4.208,0.103,3.77,3.487,0.283,5.103,0.0161
SEC_006,NORMAL,3.218,2.62,3.539,0.063,3.176,3.15,0.025,6.181,0.0326
SEC_011,NORMAL,3.781,3.178,4.355,0.061,3.928,3.588,0.34,4.577,0.0386
SEC_001,SUSPECT,2.747,2.127,3.093,0.265,3.39,2.064,1.326,6.433,0.1595
SEC_014,NORMAL,3.658,3.235,4.065,0.089,3.838,3.511,0.327,3.201,0.0364
SEC_017,FUITE,3.097,2.289,3.747,0.523,4.464,1.877,2.587,23.94,0.3485
SEC_020,SUSPECT,3.403,2.666,3.887,0.329,3.924,2.656,1.267,6.628,0.1112
SEC_010,NORMAL,3.563,2.967,3.886,0.125,3.425,3.384,0.041,3.737,0.0365
SEC_015,NORMAL,3.866,3.363,4.134,0.122,3.886,3.646,0.24,4.63,0.0771
SEC_011,NORMAL,3.468,2.817,3.959,0.109,3.48,3.278,0.202,4.234,0.0113
SEC_005,SUSPECT,3.118,2.212,3.655,0.271,3.608,2.742,0.867,9.707,0.1734
SEC_015,NORMAL,3.593,3.185,4.066,0.084,3.765,3.444,0.321,1.212,0.0333
SEC_018,NORMAL,3.571,3.183,3.842,0.053,3.715,3.35,0.365,2.553,0.0504
SEC_011,NORMAL,3.489,3.016,3.785,0.051,3.493,3.228,0.265,1.908,0.0773
SEC_013,NORMAL,3.753,3.219,4.246,0.085,3.864,3.676,0.187,4.437,0.0364
SEC_018,NORMAL,3.292,2.945,3.858,0.094,3.38,3.22,0.16,3.957,0.0209
SEC_010,FUITE,3.072,1.88,3.368,0.791,4.656,1.476,3.18,23.013,0.2902
SEC_008,NORMAL,3.253,2.888,3.591,0.13,3.254,3.182,0.071,4.397,0.0267
SEC_011,FUITE,1.778,0.937,2.373,0.389,3.206,0.439,2.766,21.449,0.409
SEC_001,SUSPECT,3.45,2.753,3.937,0.218,3.73,3.045,0.685,6.868,0.139
SEC_002,FUITE,2.371,1.219,2.763,0.605,4.093,0.623,3.471,17.327,0.2292
SEC_007,NORMAL,3.717,3.204,4.216,0.115,3.796,3.627,0.169,2.055,0.073
SEC_010,NORMAL,3.497,3.241,4.152,0.115,3.748,3.416,0.332,2.109,0.0108
SEC_012,NORMAL,3.715,3.165,4.123,0.099,3.811,3.582,0.229,5.155,0.0383
SEC_001,NORMAL,3.242,2.824,3.683,0.089,3.271,3.155,0.115,3.403,0.0603
SEC_005,NORMAL,3.458,2.885,4.026,0.077,3.547,3.331,0.216,1.495,0.0689
SEC_002,NORMAL,3.519,2.99,4.076,0.1,3.674,3.398,0.275,2.848,0.0272
SEC_002,NORMAL,3.72,3.179,4.142,0.081,3.847,3.524,0.323,6.196,0.0653
SEC_017,SUSPECT,3.373,2.378,3.666,0.2,3.819,2.881,0.938,7.014,0.1788
SEC_007,NORMAL,3.543,2.958,3.984,0.12,3.601,3.482,0.119,5.631,0.078
SEC_018,NORMAL,3.834,3.31,4.202,0.086,3.882,3.657,0.224,3.839,0.0719
SEC_017,NORMAL,3.132,2.556,3.544,0.116,3.267,2.972,0.295,3.595,0.0399
SEC_013,NORMAL,3.467,2.866,3.822,0.098,3.522,3.271,0.251,5.842,0.0789
SEC_017,NORMAL,3.394,3.083,3.701,0.085,3.453,3.338,0.115,2.552,0.0264
SEC_017,NORMAL,3.41,2.799,3.967,0.109,3.567,3.174,0.393,5.392,0.0521
SEC_008,FUITE,2.549,1.598,2.81,0.642,3.879,1.164,2.715,17.503,0.2423
SEC_006,SUSPECT,2.754,1.968,3.222,0.254,3.254,2.197,1.057,8.771,0.106
SEC_015,NORMAL,3.363,2.985,3.81,0.139,3.539,3.195,0.344,3.231,0.0374
SEC_005,SUSPECT,2.768,1.829,3.154,0.151,3.393,2.228,1.165,6.467,0.1333
SEC_003,NORMAL,3.548,2.968,4.005,0.118,3.62,3.394,0.226,2.487,0.0715
SEC_010,NORMAL,3.344,3.013,3.86,0.138,3.507,3.122,0.385,3.396,0.0715
SEC_018,SUSPECT,2.986,2.246,3.747,0.316,3.533,2.575,0.958,6.249,0.1087
SEC_013,SUSPECT,3.16,2.214,3.521,0.258,3.91,2.45,1.459,7.42,0.1433
SEC_018,FUITE,2.634,1.823,2.893,0.425,4.184,1.142,3.042,21.202,0.3079
SEC_003,NORMAL,3.366,3.074,3.722,0.132,3.449,3.3,0.149,5.297,0.0277
SEC_003,NORMAL,3.426,3.166,3.995,0.066,3.649,3.331,0.318,4.73,0.0255
SEC_017,FUITE,1.733,0.354,2.247,0.494,3.236,0.287,2.949,20.839,0.2341
SEC_008,NORMAL,3.98,3.554,4.318,0.07,4.031,3.995,0.036,2.049,0.0418
SEC_003,NORMAL,3.903,3.332,4.225,0.075,3.939,3.716,0.223,1.692,0.0213
SEC_013,NORMAL,3.906,3.376,4.39,0.096,4.029,3.757,0.272,3.118,0.0782
SEC_019,NORMAL,3.441,3.101,3.955,0.112,3.64,3.359,0.281,3.724,0.0107
SEC_001,SUSPECT,2.9,2.049,3.524,0.222,3.273,2.518,0.754,9.828,0.1001
SEC_008,NORMAL,3.88,3.318,4.186,0.137,4.005,3.72,0.286,5.043,0.0338
SEC_003,NORMAL,3.612,3.195,4.134,0.066,3.778,3.602,0.175,4.94,0.0515
SEC_014,NORMAL,3.576,3.236,4.203,0.116,3.704,3.505,0.199,3.788,0.0603
SEC_010,NORMAL,3.581,3.172,4.112,0.072,3.608,3.44,0.167,1.935,0.0688
SEC_005,NORMAL,3.288,2.761,3.571,0.123,3.285,3.09,0.195,5.607,0.073
SEC_012,NORMAL,3.467,3.114,4.016,0.097,3.703,3.369,0.334,2.612,0.0643
SEC_002,NORMAL,3.554,3.087,3.973,0.075,3.669,3.321,0.348,3.118,0.046
SEC_002,FUITE,2.045,1.086,2.346,0.354,3.391,0.714,2.677,19.279,0.2871
SEC_016,NORMAL,3.675,3.349,4.05,0.093,3.749,3.65,0.099,3.989,0.0595
SEC_017,SUSPECT,3.707,3.206,4.418,0.239,4.398,3.048,1.351,8.097,0.134
SEC_001,NORMAL,3.642,3.051,4.236,0.082,3.748,3.545,0.203,1.483,0.0204
SEC_015,NORMAL,3.533,3.226,4.151,0.084,3.676,3.463,0.213,1.78,0.0193
SEC_001,SUSPECT,2.933,2.275,3.269,0.343,3.303,2.622,0.681,8.847,0.1779
SEC_015,NORMAL,3.478,3.032,3.894,0.053,3.583,3.21,0.372,4.104,0.0574
SEC_002,FUITE,2.889,1.819,3.233,0.702,4.219,1.585,2.634,21.391,0.4172
SEC_018,FUITE,2.795,1.474,3.059,0.493,4.347,1.109,3.238,16.111,0.2602
SEC_015,SUSPECT,2.695,2.001,3.37,0.198,3.208,2.397,0.811,6.703,0.0873
SEC_003,NORMAL,3.869,3.618,4.295,0.145,4.12,3.781,0.339,5.622,0.067
SEC_004,NORMAL,3.665,3.334,4.13,0.122,3.827,3.445,0.382,1.015,0.0237
SEC_011,NORMAL,3.605,3.093,4.035,0.07,3.674,3.483,0.192,2.035,0.0216
SEC_003,NORMAL,3.527,3.214,4.109,0.09,3.746,3.356,0.391,4.954,0.0466
SEC_017,NORMAL,3.626,3.138,3.916,0.076,3.795,3.41,0.385,3.459,0.0664
SEC_009,SUSPECT,2.806,2.154,3.203,0.222,3.48,2.084,1.396,9.288,0.1357
SEC_007,SUSPECT,3.22,2.653,3.832,0.169,3.78,2.694,1.086,7.943,0.1387
SEC_017,NORMAL,3.25,2.97,3.63,0.071,3.415,3.16,0.255,2.485,0.0542
SEC_018,NORMAL,3.219,2.852,3.521,0.093,3.334,3.047,0.287,4.951,0.0794
SEC_007,SUSPECT,3.277,2.534,3.82,0.269,3.764,2.922,0.841,7.616,0.1144
SEC_012,NORMAL,3.728,3.296,4.093,0.104,3.869,3.517,0.352,4.838,0.0473
SEC_002,NORMAL,3.584,3.323,4.097,0.059,3.866,3.481,0.385,4.55,0.0628
SEC_012,NORMAL,3.501,3.02,3.786,0.116,3.599,3.281,0.318,5.678,0.0264
SEC_020,NORMAL,3.523,3.228,3.929,0.063,3.704,3.373,0.33,4.674,0.0596
SEC_002,FUITE,1.967,0.747,2.374,0.599,3.023,0.912,2.111,16.206,0.3007
SEC_005,NORMAL,2.998,2.481,3.339,0.104,3.123,2.871,0.251,4.545,0.0473
SEC_015,NORMAL,3.394,2.903,3.942,0.067,3.535,3.257,0.278,2.976,0.0783
SEC_014,FUITE,2.34,1.159,2.696,0.779,3.869,0.718,3.15,19.962,0.2129
SEC_012,FUITE,2.499,1.599,2.929,0.545,3.534,1.411,2.124,17.207,0.2987
SEC_019,NORMAL,3.248,2.845,3.663,0.071,3.331,3.137,0.194,4.559,0.0534
SEC_007,SUSPECT,3.381,2.549,3.779,0.162,3.837,2.876,0.96,10.673,0.1614
SEC_007,SUSPECT,3.037,2.382,3.425,0.281,3.365,2.575,0.79,8.032,0.1282
SEC_006,NORMAL,3.29,2.987,3.663,0.126,3.318,3.263,0.055,3.85,0.0251
SEC_003,NORMAL,3.609,3.125,3.993,0.077,3.528,3.468,0.06,1.769,0.0705
SEC_006,NORMAL,3.731,3.158,4.284,0.146,3.768,3.715,0.053,1.397,0.0561
SEC_018,NORMAL,3.528,2.998,3.802,0.114,3.614,3.35,0.264,5.118,0.0546
SEC_012,NORMAL,3.472,3.191,3.834,0.118,3.521,3.504,0.017,1.814,0.0601
SEC_014,FUITE,2.315,1.159,2.489,0.535,3.555,0.956,2.599,22.743,0.1986
SEC_008,SUSPECT,3.133,2.303,3.72,0.275,3.521,2.7,0.82,7.472,0.0921
SEC_018,NORMAL,3.432,3.0,3.832,0.061,3.583,3.388,0.194,5.353,0.0465
SEC_008,NORMAL,3.556,3.204,3.9,0.094,3.663,3.418,0.245,5.96,0.0268
SEC_003,SUSPECT,3.306,2.335,3.923,0.202,3.823,2.825,0.998,8.156,0.1021
SEC_011,NORMAL,3.487,3.214,4.052,0.125,3.601,3.493,0.108,3.686,0.061
SEC_012,SUSPECT,3.844,2.853,4.345,0.252,4.154,3.426,0.727,8.073,0.1489
SEC_010,NORMAL,3.531,3.237,4.16,0.131,3.744,3.447,0.297,5.731,0.0295
SEC_014,NORMAL,3.342,3.086,3.921,0.128,3.508,3.286,0.222,0.591,0.0633
SEC_019,SUSPECT,2.745,1.946,3.38,0.244,3.244,2.292,0.952,6.392,0.1185
SEC_006,NORMAL,3.258,2.702,3.514,0.129,3.213,3.176,0.037,4.404,0.0437
SEC_004,NORMAL,3.924,3.505,4.392,0.099,4.021,3.781,0.24,3.766,0.0116
SEC_012,SUSPECT,3.418,2.667,3.72,0.253,3.826,2.942,0.884,6.734,0.1128
SEC_015,FUITE,2.011,0.604,2.201,0.77,3.346,0.561,2.785,16.227,0.3518
SEC_011,SUSPECT,3.209,2.358,3.879,0.183,3.792,2.622,1.17,8.22,0.1386
SEC_005,SUSPECT,3.257,2.692,3.591,0.187,3.9,2.617,1.283,8.364,0.1283
SEC_001,SUSPECT,2.943,2.319,3.279,0.23,3.668,2.253,1.415,8.154,0.0813
SEC_010,NORMAL,3.367,2.915,3.672,0.126,3.451,3.272,0.18,4.544,0.0146
SEC_001,SUSPECT,3.043,2.358,3.686,0.296,3.556,2.553,1.003,6.675,0.1682
SEC_005,FUITE,2.921,1.877,3.591,0.465,4.406,1.598,2.808,13.321,0.3326
SEC_009,NORMAL,3.46,3.01,3.8,0.059,3.515,3.242,0.274,4.157,0.0786
SEC_017,NORMAL,3.52,2.958,4.097,0.058,3.634,3.45,0.183,4.026,0.0216
SEC_016,NORMAL,3.382,2.793,3.781,0.129,3.354,3.309,0.045,3.033,0.0785
SEC_004,SUSPECT,3.007,2.056,3.387,0.254,3.304,2.679,0.625,9.502,0.168
SEC_017,NORMAL,3.451,2.991,4.034,0.141,3.596,3.38,0.215,3.882,0.0174
SEC_019,NORMAL,3.329,3.003,3.78,0.069,3.405,3.368,0.038,2.944,0.063
SEC_014,NORMAL,3.555,3.214,4.192,0.129,3.66,3.534,0.127,5.185,0.0734
SEC_008,FUITE,2.34,1.48,2.892,0.644,3.241,1.436,1.804,17.029,0.3461
SEC_016,FUITE,2.075,0.818,2.329,0.676,3.15,1.004,2.146,24.775,0.4445
SEC_004,SUSPECT,3.274,2.254,3.811,0.328,3.427,2.939,0.487,9.031,0.0987
SEC_012,FUITE,2.647,1.443,2.908,0.491,3.615,1.606,2.009,22.109,0.4176
SEC_002,NORMAL,3.848,3.422,4.381,0.095,3.978,3.678,0.3,4.248,0.0535
SEC_003,NORMAL,3.417,2.906,4.0,0.081,3.403,3.401,0.002,4.669,0.0217
SEC_015,NORMAL,3.461,2.843,3.986,0.071,3.431,3.418,0.013,2.72,0.0557
SEC_013,FUITE,2.861,1.885,3.196,0.35,3.763,1.925,1.838,15.775,0.2825
SEC_014,NORMAL,3.339,2.959,3.81,0.052,3.382,3.213,0.169,1.284,0.0776
SEC_013,FUITE,2.18,0.833,2.542,0.723,3.157,1.094,2.063,23.024,0.2104
SEC_001,NORMAL,3.478,2.907,3.745,0.08,3.55,3.31,0.239,2.999,0.031
SEC_009,FUITE,2.836,1.371,3.153,0.727,3.759,1.688,2.071,16.07,0.2523
SEC_005,NORMAL,3.69,3.108,4.221,0.061,3.676,3.638,0.038,6.354,0.0568
SEC_015,NORMAL,3.529,2.9,3.918,0.064,3.553,3.417,0.136,1.998,0.0219
SEC_007,NORMAL,3.785,3.358,4.182,0.073,3.897,3.583,0.315,5.789,0.0284
SEC_018,NORMAL,3.376,2.933,3.736,0.064,3.433,3.322,0.111,5.406,0.0332
SEC_017,NORMAL,3.668,3.32,4.054,0.051,3.654,3.65,0.003,2.497,0.0126
SEC_010,NORMAL,3.502,3.016,4.03,0.059,3.591,3.345,0.247,2.14,0.0342
SEC_019,NORMAL,3.53,2.923,3.989,0.143,3.521,3.455,0.066,2.6,0.0611
SEC_001,SUSPECT,3.113,2.459,3.492,0.287,3.406,2.88,0.526,7.992,0.1256
SEC_001,NORMAL,3.405,2.908,3.968,0.082,3.552,3.252,0.3,3.827,0.0552
SEC_019,FUITE,2.896,1.707,3.138,0.676,3.752,2.011,1.741,23.527,0.1979
SEC_003,NORMAL,3.511,3.094,3.898,0.058,3.538,3.379,0.16,5.45,0.0666
SEC_004,SUSPECT,2.762,1.888,3.483,0.308,3.262,2.371,0.891,8.648,0.1622
SEC_016,NORMAL,3.341,2.908,3.711,0.087,3.367,3.356,0.011,3.004,0.0468
SEC_001,NORMAL,3.832,3.259,4.244,0.084,3.776,3.748,0.029,2.678,0.0318
SEC_012,NORMAL,3.293,2.788,3.841,0.061,3.415,3.348,0.067,5.425,0.026
SEC_006,SUSPECT,2.541,1.615,3.1,0.33,2.823,2.295,0.528,9.362,0.1114
SEC_016,SUSPECT,2.707,2.031,3.29,0.346,3.117,2.191,0.926,7.989,0.0968
SEC_013,NORMAL,3.443,2.992,3.808,0.077,3.66,3.273,0.387,4.411,0.0343
SEC_011,NORMAL,3.281,2.778,3.755,0.128,3.463,3.169,0.294,2.639,0.0328
SEC_005,NORMAL,3.207,2.634,3.534,0.146,3.377,3.013,0.364,4.502,0.0473
SEC_017,SUSPECT,3.181,2.428,3.522,0.243,3.403,2.965,0.438,10.371,0.1749
SEC_004,NORMAL,3.592,3.068,4.222,0.089,3.73,3.526,0.205,3.82,0.0504
SEC_015,NORMAL,3.426,3.001,3.987,0.146,3.473,3.393,0.08,1.847,0.0698
SEC_013,FUITE,2.746,1.62,3.242,0.693,4.468,1.11,3.359,10.784,0.4155
SEC_009,NORMAL,3.634,3.095,4.147,0.071,3.789,3.406,0.383,1.199,0.0798
SEC_001,NORMAL,3.618,3.076,3.977,0.138,3.733,3.453,0.28,1.663,0.0379
SEC_014,SUSPECT,2.616,1.893,2.874,0.34,2.783,2.303,0.48,9.821,0.1323
SEC_016,NORMAL,3.552,3.202,3.935,0.117,3.632,3.547,0.084,5.662,0.0381
SEC_017,NORMAL,3.405,3.219,4.123,0.148,3.677,3.435,0.241,2.844,0.0553
SEC_010,SUSPECT,3.757,3.071,4.241,0.255,4.17,3.261,0.909,6.73,0.1103
SEC_014,FUITE,3.158,2.251,3.398,0.721,4.595,1.651,2.943,14.352,0.2887
SEC_006,FUITE,2.235,0.734,2.365,0.503,3.804,0.423,3.381,11.562,0.4313
SEC_004,SUSPECT,3.154,2.175,3.493,0.328,3.595,2.718,0.877,10.234,0.1177
SEC_001,FUITE,2.73,1.69,2.936,0.413,3.689,1.68,2.008,23.252,0.2294
SEC_009,NORMAL,3.459,2.945,3.982,0.128,3.66,3.403,0.258,0.552,0.0352
SEC_018,NORMAL,3.459,2.882,3.962,0.105,3.526,3.36,0.166,4.943,0.036
SEC_013,NORMAL,3.597,3.022,3.93,0.089,3.801,3.428,0.372,2.218,0.0616
SEC_001,FUITE,2.078,0.764,2.354,0.376,3.01,1.287,1.723,17.28,0.2523
SEC_017,NORMAL,3.3,2.795,3.576,0.091,3.372,3.175,0.197,3.009,0.0472
SEC_006,SUSPECT,2.575,2.053,3.044,0.194,2.863,2.319,0.545,9.091,0.1375
SEC_007,NORMAL,3.456,2.995,3.707,0.079,3.561,3.252,0.309,3.184,0.0344
SEC_007,FUITE,2.805,1.801,3.268,0.723,4.064,1.352,2.712,14.461,0.2359
SEC_002,NORMAL,3.531,2.947,4.066,0.125,3.625,3.435,0.19,1.358,0.077
SEC_015,NORMAL,3.397,2.971,3.749,0.123,3.49,3.242,0.248,5.487,0.0693
SEC_004,NORMAL,3.592,3.188,4.017,0.117,3.628,3.524,0.104,2.912,0.0742
SEC_018,SUSPECT,3.137,2.218,3.54,0.196,3.323,2.874,0.449,7.859,0.1102
SEC_018,NORMAL,3.495,3.093,4.106,0.068,3.629,3.445,0.183,3.925,0.0705
SEC_011,SUSPECT,3.001,2.115,3.664,0.342,3.28,2.663,0.617,9.326,0.1795
SEC_018,NORMAL,3.614,3.055,4.165,0.057,3.717,3.468,0.249,5.912,0.0233
SEC_008,NORMAL,3.851,3.391,4.392,0.075,3.989,3.733,0.256,4.239,0.0214
SEC_010,SUSPECT,3.169,2.196,3.471,0.225,3.603,2.596,1.007,9.239,0.0846
SEC_005,NORMAL,3.666,3.09,4.125,0.05,3.857,3.496,0.361,0.899,0.0793
SEC_003,NORMAL,3.92,3.493,4.436,0.125,4.084,3.716,0.367,5.281,0.0504
SEC_018,SUSPECT,2.857,2.368,3.201,0.334,3.143,2.631,0.512,8.088,0.1021
SEC_013,NORMAL,3.451,3.064,4.014,0.093,3.606,3.318,0.288,3.483,0.0399
SEC_007,SUSPECT,3.499,2.898,3.944,0.315,4.215,2.837,1.378,8.049,0.1004
SEC_014,NORMAL,3.579,2.974,4.068,0.057,3.705,3.329,0.376,3.213,0.0387
SEC_010,SUSPECT,2.285,1.449,2.735,0.159,2.582,1.863,0.719,9.529,0.1192
SEC_006,NORMAL,3.561,3.158,3.827,0.147,3.572,3.482,0.09,2.176,0.0313
SEC_015,NORMAL,3.688,3.281,4.019,0.14,3.782,3.455,0.327,2.476,0.029
SEC_008,SUSPECT,2.907,1.984,3.408,0.166,3.374,2.375,0.999,8.386,0.0967
SEC_020,NORMAL,3.481,3.1,3.882,0.128,3.676,3.393,0.283,1.778,0.0781
SEC_007,FUITE,2.625,1.639,3.054,0.505,3.369,1.807,1.562,11.121,0.2184
SEC_013,FUITE,1.54,0.726,2.079,0.423,3.08,0.007,3.072,20.999,0.2838
SEC_004,NORMAL,3.539,3.162,3.984,0.1,3.732,3.45,0.282,3.657,0.0479
SEC_016,SUSPECT,2.509,1.809,3.103,0.176,3.13,1.778,1.352,6.947,0.111
SEC_007,NORMAL,3.562,3.249,3.972,0.144,3.794,3.453,0.34,5.779,0.054
SEC_012,NORMAL,3.7,3.314,4.249,0.09,3.757,3.73,0.027,4.789,0.03
SEC_015,NORMAL,3.489,2.933,4.003,0.148,3.624,3.31,0.314,4.617,0.0181
SEC_009,FUITE,2.475,1.197,2.995,0.431,4.234,0.792,3.441,11.146,0.289
SEC_012,NORMAL,3.328,2.849,3.821,0.111,3.417,3.211,0.207,4.381,0.0541
SEC_015,FUITE,2.268,1.471,2.867,0.62,3.655,0.908,2.747,19.971,0.2522
SEC_001,SUSPECT,2.863,2.168,3.102,0.267,3.245,2.266,0.978,6.705,0.0802
SEC_019,FUITE,2.59,1.448,2.958,0.666,4.086,1.226,2.86,16.294,0.1842
SEC_004,SUSPECT,3.118,2.332,3.678,0.273,3.688,2.475,1.213,6.762,0.1465
SEC_015,NORMAL,3.811,3.463,4.35,0.051,3.953,3.718,0.236,4.174,0.0546
SEC_015,NORMAL,3.637,3.207,4.041,0.086,3.617,3.61,0.006,0.981,0.0738
SEC_016,NORMAL,3.624,3.077,4.121,0.143,3.709,3.491,0.218,1.772,0.0532
SEC_010,NORMAL,3.558,2.933,4.066,0.071,3.668,3.348,0.32,2.597,0.0706
SEC_006,NORMAL,3.86,3.465,4.205,0.144,3.911,3.886,0.026,5.131,0.0305
SEC_011,NORMAL,3.102,2.62,3.494,0.143,3.137,3.095,0.042,4.738,0.0387
SEC_005,SUSPECT,3.37,2.621,3.864,0.239,3.986,2.699,1.286,6.289,0.1725
SEC_020,FUITE,2.108,0.911,2.503,0.723,3.119,1.187,1.932,21.91,0.3923
SEC_017,NORMAL,3.606,3.162,4.271,0.1,3.752,3.674,0.078,5.177,0.0574
SEC_009,NORMAL,3.824,3.483,4.168,0.117,3.854,3.782,0.072,4.993,0.0261
SEC_001,NORMAL,3.785,3.479,4.178,0.138,3.839,3.79,0.049,3.904,0.0508
SEC_015,NORMAL,3.465,2.931,3.823,0.073,3.442,3.354,0.088,5.1,0.0531
SEC_010,NORMAL,3.381,2.765,3.858,0.083,3.458,3.239,0.219,4.104,0.0115
SEC_007,NORMAL,3.484,3.137,3.951,0.119,3.54,3.457,0.083,2.944,0.0727
SEC_017,FUITE,2.223,0.825,2.616,0.749,3.109,1.165,1.944,20.652,0.418
